date,source_ip,destination_ip,total_flow_duration,total_forward_packets
2022-12-07,192.168.20.43,18.164.55.110,347146452,155
2022-12-07,192.168.20.43,18.164.55.40,3602754,47
2022-12-07,192.168.20.43,18.164.55.96,16794106,12
2022-12-07,192.168.20.43,18.203.57.224,24144909554,3826
2022-12-07,192.168.20.43,18.233.46.225,23705358,279
2022-12-07,192.168.20.43,184.73.130.219,27533760,129
2022-12-07,192.168.20.43,192.168.20.1,3215386,1360
2022-12-07,192.168.20.43,205.251.242.2,694440,17
2022-12-07,192.168.20.43,209.54.177.153,462534,11
2022-12-07,192.168.20.43,209.54.177.154,97854944,21
2022-12-07,192.168.20.43,209.54.177.157,100139119,11
2022-12-07,192.168.20.43,209.54.178.134,469445,11
2022-12-07,192.168.20.43,209.54.178.166,158417541,22
2022-12-07,192.168.20.43,209.54.181.4,502070,10
2022-12-07,192.168.20.43,209.54.181.79,589976,33
2022-12-07,192.168.20.43,209.54.181.98,94961291,20
2022-12-07,192.168.20.43,209.54.183.243,391433,13
2022-12-07,192.168.20.43,224.0.0.251,11782951879,479
2022-12-07,192.168.20.43,239.255.255.250,100564370,1185
2022-12-07,192.168.20.43,255.255.255.255,7489,33
2022-12-07,192.168.20.43,3.208.140.212,49777202,291
2022-12-07,192.168.20.43,3.208.210.255,1101462746,140
2022-12-07,192.168.20.43,3.212.205.83,220495807,1793
2022-12-07,192.168.20.43,3.214.58.173,76856,1
2022-12-07,192.168.20.43,3.215.30.85,660463771,84
2022-12-07,192.168.20.43,3.218.120.56,545697734,70
2022-12-07,192.168.20.43,3.220.182.54,20523237,171
2022-12-07,192.168.20.43,3.220.6.227,768992323,98
2022-12-07,192.168.20.43,3.222.37.41,668587367,84
2022-12-07,192.168.20.43,3.224.166.115,35531220,335
2022-12-07,192.168.20.43,3.226.196.104,31833222,144
2022-12-07,192.168.20.43,3.227.184.44,988732257,126
2022-12-07,192.168.20.43,3.227.250.142,8022150,19
2022-12-07,192.168.20.43,3.227.250.150,751491,20
2022-12-07,192.168.20.43,3.227.250.176,435205,16
2022-12-07,192.168.20.43,3.227.250.206,602545,19
2022-12-07,192.168.20.43,3.227.250.226,653222,22
2022-12-07,192.168.20.43,3.227.250.235,1161224,39
2022-12-07,192.168.20.43,3.227.250.246,657839,20
2022-12-07,192.168.20.43,3.227.250.247,619607,19
2022-12-07,192.168.20.43,3.229.228.181,1428457805,182
2022-12-07,192.168.20.43,3.232.127.207,24811813,172
2022-12-07,192.168.20.43,3.232.197.4,96947022,46
2022-12-07,192.168.20.43,3.232.21.156,1586174456,206
2022-12-07,192.168.20.43,3.233.174.130,96459794,39
2022-12-07,192.168.20.43,3.234.165.228,31989189,285
2022-12-07,192.168.20.43,3.234.38.31,78380,1
2022-12-07,192.168.20.43,3.237.107.58,541491,20
2022-12-07,192.168.20.43,3.237.53.195,38537038,230
2022-12-07,192.168.20.43,3.85.252.224,1543841205,196
2022-12-07,192.168.20.43,3.88.94.137,1104854943,140
2022-12-07,192.168.20.43,3.91.171.130,609262,20
2022-12-07,192.168.20.43,3.91.171.153,667283,20
2022-12-07,192.168.20.43,3.91.171.228,546212,20
2022-12-07,192.168.20.43,3.91.171.243,1307621,40
2022-12-07,192.168.20.43,3.91.171.246,586696,20
2022-12-07,192.168.20.43,3.91.171.249,599900,20
2022-12-07,192.168.20.43,3.92.103.73,97108887,52
2022-12-07,192.168.20.43,3.93.8.74,96556878,39
2022-12-07,192.168.20.43,34.192.154.181,58303247,1814
2022-12-07,192.168.20.43,34.195.153.29,39372316,236
2022-12-07,192.168.20.43,34.202.156.48,1424241928,182
2022-12-07,192.168.20.43,34.203.4.32,97375203,53
2022-12-07,192.168.20.43,34.210.228.239,27797228,92
2022-12-07,192.168.20.43,34.224.178.62,96365047,42
2022-12-07,192.168.20.43,34.227.127.81,1106340740,140
2022-12-07,192.168.20.43,34.231.63.97,96471983,37
2022-12-07,192.168.20.43,34.232.93.236,49206102,371
2022-12-07,192.168.20.43,34.236.178.92,97141124,47
2022-12-07,192.168.20.43,34.238.107.215,547145681,70
2022-12-07,192.168.20.43,34.239.216.180,96193959,2083
2022-12-07,192.168.20.43,35.155.9.57,53406554,141
2022-12-07,192.168.20.43,35.164.182.2,52699712,117
2022-12-07,192.168.20.43,35.166.62.210,125045435,74
2022-12-07,192.168.20.43,35.167.225.196,108659389,260
2022-12-07,192.168.20.43,35.173.14.214,16666798,189
2022-12-07,192.168.20.43,35.174.51.236,30996116,176
2022-12-07,192.168.20.43,44.193.176.218,989161147,126
2022-12-07,192.168.20.43,44.193.236.65,12736669,17
2022-12-07,192.168.20.43,44.195.211.0,96259551,42
2022-12-07,192.168.20.43,44.197.43.221,16337811,167
2022-12-07,192.168.20.43,44.207.110.97,1207316667,158
2022-12-07,192.168.20.43,44.207.146.186,1291232007,166
2022-12-07,192.168.20.43,44.207.206.245,436835695,56
2022-12-07,192.168.20.43,44.211.15.145,1204410117,154
2022-12-07,192.168.20.43,44.226.67.213,34611055,74
2022-12-07,192.168.20.43,44.227.96.221,161030872,241
2022-12-07,192.168.20.43,44.228.215.143,43469507,89
2022-12-07,192.168.20.43,44.234.113.198,200802142,237
2022-12-07,192.168.20.43,44.240.184.205,8656870,17
2022-12-07,192.168.20.43,52.0.129.193,1112085568,140
2022-12-07,192.168.20.43,52.1.172.87,28575839,169
2022-12-07,192.168.20.43,52.119.196.28,1209941,36
2022-12-07,192.168.20.43,52.119.196.31,483793,11
2022-12-07,192.168.20.43,52.119.198.106,64401230,10
2022-12-07,192.168.20.43,52.119.198.186,477821,11
2022-12-07,192.168.20.43,52.119.198.2,443612,11
2022-12-07,192.168.20.43,52.16.104.93,26968979181,4382
2022-12-07,192.168.20.43,52.203.151.208,76748,1
2022-12-07,192.168.20.43,52.204.152.47,21750194,126
2022-12-07,192.168.20.43,52.205.66.64,30831984,160
2022-12-07,192.168.20.43,52.206.107.93,669920360,84
2022-12-07,192.168.20.43,52.210.180.223,531371,27
2022-12-07,192.168.20.43,52.214.227.89,17336176777,2716
2022-12-07,192.168.20.43,52.216.29.196,8961624,300
2022-12-07,192.168.20.43,52.222.145.55,665534190,346
2022-12-07,192.168.20.43,52.222.149.14,1851104,6
2022-12-07,192.168.20.43,52.222.149.17,108646,6
2022-12-07,192.168.20.43,52.222.149.49,264777,20
